Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2019,Community Maintenance and Development,Public Works,Public Buildings,C713-001,Workng Forepsn Plumb/MEO,67495.00
2019,Community Maintenance and Development,Public Works,Solid Waste,M904-702,Compliance Officer,72185.00
2019,Community Maintenance and Development,Public Works,Solid Waste,M468-001,Director of Recycling,91749.00
2019,Community Maintenance and Development,Public Works,Solid Waste,A471-701,Drop Off Monitor/Recycling,44217.00
2019,Community Maintenance and Development,Public Works,Solid Waste,M605-001,Environmental Services Manager,105866.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-013,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-036,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-039,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-052,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-054,Laborer,51739.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-061,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-063,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-067,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-122,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-123,Laborer,48565.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-177,Laborer,48629.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-209,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-212,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-216,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C644-232,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C727-017,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C727-018,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C727-024,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C727-026,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C727-027,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C748-001,Meo II/Laborer/PWD,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C748-002,Meo II/Laborer/PWD,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C748-003,Meo II/Laborer/PWD,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C748-004,Meo II/Laborer/PWD,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C748-005,Meo II/Laborer/PWD,55877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-039,MEO/Laborer/PWD,53027.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-040,MEO/Laborer/PWD,53877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-042,MEO/Laborer/PWD,45271.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-043,MEO/Laborer/PWD,46410.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-044,MEO/Laborer/PWD,52831.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-045,MEO/Laborer/PWD,50317.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-046,MEO/Laborer/PWD,45141.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-047,MEO/Laborer/PWD,47168.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-048,MEO/Laborer/PWD,47804.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-049,MEO/Laborer/PWD,53877.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-050,MEO/Laborer/PWD,46410.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-051,MEO/Laborer/PWD,42004.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-052,MEO/Laborer/PWD,42004.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-053,MEO/Laborer/PWD,46410.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-054,MEO/Laborer/PWD,46410.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-055,MEO/Laborer/PWD,46410.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-056,MEO/Laborer/PWD,46410.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-057,MEO/Laborer/PWD,45597.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C745-058,MEO/Laborer/PWD,40593.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C736-002,Motor Equip Operator I,50775.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C736-005,Motor Equip Operator I,42004.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C736-034,Motor Equip Operator I,50317.00
2019,Community Maintenance and Development,Public Works,Solid Waste,J101-005,Public Works Supervisor,77749.00
2019,Community Maintenance and Development,Public Works,Solid Waste,M483-001,Recycling Program Manager,59419.00
2019,Community Maintenance and Development,Public Works,Solid Waste,M194-701,Refuse & Parks Inspector,72185.00
2019,Community Maintenance and Development,Public Works,Solid Waste,J105-001,Supervisor of Solid Waste Oper,81315.00
2019,Community Maintenance and Development,Public Works,Solid Waste,M260-701,Waste Reduction Program Mgr,55096.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C743-007,Working Foreperson/Laborer,63107.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C743-010,Working Foreperson/Laborer,63107.00
2019,Community Maintenance and Development,Public Works,Solid Waste,C743-015,Working Foreperson/Laborer,63107.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M339-001,Admin Asst/Permits/Pwd,59748.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M904-701,Compliance Officer,72185.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,J307-001,Construction Utility Insp/Lic,83088.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,J305-002,Construction/Utility Inspector,78739.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-001,Highway Maint Craft/MEO I,47643.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-003,Highway Maint Craft/MEO I,50030.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-004,Highway Maint Craft/MEO I,47643.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C695-006,Highway Maint Craft/MEO I,54107.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C644-018,Laborer,39840.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C768-001,MEO IIA,54936.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C768-002,MEO IIA,57843.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C768-003,MEO IIA,54478.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,A472-702,Operations Assistant,35850.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M055-001,Permit Coordinator,68748.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,J306-001,Public Works Supervisor/Lic,82098.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,A540-003,PWD Co-op Student,39975.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C766-002,Sewer Cleaner/MEO IIA,58839.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C766-003,Sewer Cleaner/MEO IIA,58839.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C766-004,Sewer Cleaner/MEO IIA,54478.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C766-005,Sewer Cleaner/MEO IIA,53385.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M063-701,Sr.Wastewater/Hydraulic Eng.,99054.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M038-702,Supervising Engineer,104908.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M046-001,Supt/Streets & Bridges,112395.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C686-002,W.S. High Maint Crafts/MEO IIA,63760.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C696-001,W.S. High Maint Crafts/MEO IIA,63760.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C627-002,Wrkg Frpsn Hghwy Maint Crafts,63107.00
2019,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C711-001,Wrkg Sp/Sewer Sys.Main./MEOIIA,63760.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,M618-701,City Arborist,95278.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,M618-702,City Arborist,95278.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,C764-002,Forestry Worker/MEO IIA,58839.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,C770-002,Forestry Worker/MEOIIA/License,62194.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,C768-007,MEO IIA,58839.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,J201-001,Public Works Supervisor/Lic.,82463.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,C758-001,Tree Climber/MEO IIA/LIC,64328.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,c758-002,Tree Climber/MEO IIA/LIC,64328.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,C756-001,Wk.Sp/Tree Cl./Sp/MEO/Lic,69074.00
2019,Community Maintenance and Development,Public Works,Urban Forestry,C767-001,Wrkg Superv/Forestry Wk/MEOIIA,63760.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C644-208,Laborer,49253.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,M623-002,Master Mechanic,103549.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C727-013,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C727-028,Meo II,55877.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C768-004,MEO IIA,58839.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-002,Motor Equip Repair Person,55430.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-004,Motor Equip Repair Person,55430.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-006,Motor Equip Repair Person,55430.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-007,Motor Equip Repair Person,55430.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C674-008,Motor Equip Repair Person,55430.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,J101-007,Public Works Supervisor,77749.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,J101-011,Public Works Supervisor,72889.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C719-001,Utility Cvr/Ctch Basn Bldr/MEO,55252.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C688-015,Working Foreperson,63107.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C763-001,Working Sup./Skilled Lab/SpMEO,63760.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C763-003,Working Sup./Skilled Lab/SpMEO,63760.00
2019,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,C689-002,Wrkg Frpsn/Diesel,64239.00
2019,Community Maintenance and Development,Water,Administration,M121-701,Admin & Fiscal Operations Mgr.,71920.00
2019,Community Maintenance and Development,Water,Administration,M012-701,Administrative Assistant/Water,58407.00
2019,Community Maintenance and Development,Water,Administration,W262-001,Cross Connection Supervisor,70306.00
2019,Community Maintenance and Development,Water,Administration,M187-701,Dir for Administration,111865.00
2019,Community Maintenance and Development,Water,Administration,M249-001,Engineer/Water,78980.00
2019,Community Maintenance and Development,Water,Administration,M873-701,Facilities Manager,89704.00
2019,Community Maintenance and Development,Water,Administration,M467-702,Fiscal Coordinator/Water,66934.00
2019,Community Maintenance and Development,Water,Administration,O086-701,Managng Dir/Supt/Water,146171.00
2019,Community Maintenance and Development,Water,Administration,W223-009,Meter Technician,58385.00
2019,Community Maintenance and Development,Water,Administration,W224-001,Meter Technician Supervisor,59545.00
2019,Community Maintenance and Development,Water,Administration,M237-001,Mngr/Engineering/Prog Dev,105516.00
2019,Community Maintenance and Development,Water,Source of Supply,M197-001,Chief Ranger/Water,53401.00
2019,Community Maintenance and Development,Water,Source of Supply,M232-001,Dir for Water Operations,111865.00
2019,Community Maintenance and Development,Water,Source of Supply,M200-701,Instrumentation & Maint. Mgr,87320.00
2019,Community Maintenance and Development,Water,Source of Supply,C597-001,Operation Team Ldr/DAF Plant,75697.00
2019,Community Maintenance and Development,Water,Source of Supply,C597-002,Operation Team Ldr/DAF Plant,75697.00
2019,Community Maintenance and Development,Water,Source of Supply,C597-003,Operation Team Ldr/DAF Plant,75697.00
2019,Community Maintenance and Development,Water,Source of Supply,C597-004,Operation Team Ldr/DAF Plant,75697.00
2019,Community Maintenance and Development,Water,Source of Supply,C598-001,Operator/DAF Plant,65102.00
2019,Community Maintenance and Development,Water,Source of Supply,C598-002,Operator/DAF Plant,57081.00
2019,Community Maintenance and Development,Water,Source of Supply,C598-003,Operator/DAF Plant,65102.00
2019,Community Maintenance and Development,Water,Source of Supply,C598-004,Operator/DAF Plant,57081.00
2019,Community Maintenance and Development,Water,Source of Supply,M874-701,Production Manager/Water,92682.00
2019,Community Maintenance and Development,Water,Source of Supply,M035-701,Reservior System Manager,87263.00
2019,Community Maintenance and Development,Water,Source of Supply,W633-001,Reservoir Caretaker I,66242.00
2019,Community Maintenance and Development,Water,Source of Supply,W632-001,Reservoir Caretaker II,67545.00
2019,Community Maintenance and Development,Water,Source of Supply,M236-001,Supervisor/Water Quality,92682.00
2019,Community Maintenance and Development,Water,Source of Supply,M234-001,Watershed Manager,104781.00
2019,Community Maintenance and Development,Water,Source of Supply,M233-701,Watershed Supervisor,81957.00
2019,Community Maintenance and Development,Water,Source of Supply,w655-001,Wrkg Superv/Park Maint Craf,58874.00
2019,Community Maintenance and Development,Water,Source of Supply,M296-001,Wtr Qulity Supervisor/TreaPlan,81963.00
2019,Community Maintenance and Development,Water,Source of Supply,M296-002,Wtr Qulity Supervisor/TreaPlan,81963.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,M153-001,Assistant Distribution Mgr,92682.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,M153-002,Assistant Distribution Mgr,92682.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W657-001,Construction Inspector,68435.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W657-002,Construction Inspector,68435.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,M241-001,Dir for Distribution & Eng Op.,111865.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W696-001,Inventory Cont.Spe./Dispatch,60145.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W726-002,MEO  IIA/Water,58320.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W726-006,MEO  IIA/Water,58320.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W726-026,MEO  IIA/Water,58320.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W727-001,MEO IIA/Operations Specialist,58920.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W677-001,Motor Equip Repair/MEO IIA,59891.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W672-080,Water System Maint Crafts/Disp,59545.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-034,Water System Maint Crafts/Dist,51484.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-082,Water System Maint Crafts/Dist,54481.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-084,Water System Maint Crafts/Dist,42099.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-085,Water System Maint Crafts/Dist,54481.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-086,Water System Maint Crafts/Dist,54481.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-087,Water System Maint Crafts/Dist,48210.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W671-088,Water System Maint Crafts/Dist,54481.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W647-002,Wrkg Super/Water Sys Maint/Dtb,60357.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W647-030,Wrkg Super/Water Sys Maint/Dtb,60357.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W647-033,Wrkg Super/Water Sys Maint/Dtb,56346.00
2019,Community Maintenance and Development,Water,Transmission & Distribution,W647-035,Wrkg Super/Water Sys Maint/Dtb,60357.00
2019,Human Resources and Development,Commission on the Status of Women,Administration,M028-701,Exec Dir/Womens Commissio,94089.00
2019,Human Resources and Development,Commission on the Status of Women,Administration,M263-701,Proj Coord/Office Mngr,68504.00
2019,Human Resources and Development,Human Rights Commission,Administration,M029-701,Exec Dir Human Rights,100955.00
2019,Human Resources and Development,Human Rights Commission,Administration,M125-701,Outreach & Referral Specialist,38886.00
2019,Human Resources and Development,Human Rights Commission,Administration,M263-223,Proj Coord/Office Mngr,65591.00
2019,Human Resources and Development,Human Rights Commission,Administration,M213-701,Research Associate,36777.00
2019,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,M286-701,Children&Youth Srvs Planner,70756.00
2019,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,A111-701,Community Coordinator Assoc.,8336.00
2019,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,M770-701,Coord for Literacy,94089.00
2019,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,M769-701,Coord/Superv Activities Agenda,97302.00
2019,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,M307-701,Prof. Devl Sys. Comm. Coord,32599.00
2019,Human Resources and Development,Human Services,Baby U and Center for Families,K119-001,Baby U Program Coordinator,55032.00
2019,Human Resources and Development,Human Services,Baby U and Center for Families,M385-701,Family Services Coordinator,59485.00
2019,Human Resources and Development,Human Services,Baby U and Center for Families,A806-701,Family Support Worker,25369.00
2019,Human Resources and Development,Human Services,Baby U and Center for Families,A806-702,Family Support Worker,17724.00
2019,Human Resources and Development,Human Services,Baby U and Center for Families,M459-701,Site Dir/Ctr For Families,73070.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,A811-707,Custodian/Childcare,12504.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,M250-701,Early Childhood Director,124179.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,K068-001,Father Facilitator,49007.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,M282-701,"Find It, Manager",63417.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,D447-727,Head Teacher/Daycare,47052.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,D447-728,Head Teacher/Daycare,48734.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,M136-701,Pre-Sch.l Dir./Teacher/Windsor,73904.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,M908-702,Pre-School Teacher/Coordinator,53449.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,M268-701,Program Quality Specialist,82589.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,M268-702,Program Quality Specialist,85629.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,D446-724,Teacher/Daycare,45141.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,D446-725,Teacher/Daycare,41936.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,D446-726,Teacher/Daycare,43084.00
2019,Human Resources and Development,Human Services,Birth to Third Grade Partnership,D446-727,Teacher/Daycare,44069.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M430-701,Afterschool Manager,74727.00
2019,Human Resources and Development,Library,Branch Libraries,L410-706,Branch Manager,70533.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-701,Asst Teacher/DHSP,18842.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-702,Asst Teacher/DHSP,18842.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-703,Asst Teacher/DHSP,20753.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-705,Asst Teacher/DHSP,18842.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-706,Asst Teacher/DHSP,18183.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-707,Asst Teacher/DHSP,17302.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-708,Asst Teacher/DHSP,17302.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-709,Asst Teacher/DHSP,17302.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-711,Asst Teacher/DHSP,22575.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-713,Asst Teacher/DHSP,16865.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M444-714,Asst Teacher/DHSP,16882.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M437-701,Coord/Childcare,47870.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,A811-701,Custodian/Childcare,8336.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,A811-702,Custodian/Childcare,8336.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,A811-703,Custodian/Childcare,10003.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,A811-704,Custodian/Childcare,7503.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,A811-705,Custodian/Childcare,8336.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M472-701,Div Head/Childcare Fam Sv,100723.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M999-001,Enrollment Assistant,38376.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-701,Head Teacher/Daycare,49345.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-703,Head Teacher/Daycare,39672.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-705,Head Teacher/Daycare,41018.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-706,Head Teacher/Daycare,41018.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-707,Head Teacher/Daycare,51520.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-708,Head Teacher/Daycare,51310.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-710,Head Teacher/Daycare,38542.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-712,Head Teacher/Daycare,51520.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-713,Head Teacher/Daycare,39672.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-714,Head Teacher/Daycare,41018.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-723,Head Teacher/Daycare,49424.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-724,Head Teacher/Daycare,47916.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-726,Head Teacher/Daycare,41018.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M138-701,King Preschool Director/Teache,73904.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M908-701,Pre-School Teacher/Coordinator,55349.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-701,Preschool Director/Teacher,56072.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-702,Preschool Director/Teacher,59843.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-703,Preschool Director/Teacher,59843.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-704,Preschool Director/Teacher,59843.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-705,Preschool Director/Teacher,45552.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M139-701,Preschool Manager,85629.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M441-701,Program Substitute,23737.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M445-701,Rotating Teacher,37367.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,M445-702,Rotating Teacher,37367.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,C171-712,Sr Account Clerk,55272.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-701,Teacher/Daycare,31906.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-702,Teacher/Daycare,28129.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-704,Teacher/Daycare,43000.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-705,Teacher/Daycare,45120.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-706,Teacher/Daycare,46369.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-707,Teacher/Daycare,29932.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-708,Teacher/Daycare,28518.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-709,Teacher/Daycare,29281.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-712,Teacher/Daycare,30764.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-713,Teacher/Daycare,46369.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-714,Teacher/Daycare,31977.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-716,Teacher/Daycare,45115.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-717,Teacher/Daycare,46369.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-718,Teacher/Daycare,46369.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-719,Teacher/Daycare,40695.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-720,Teacher/Daycare,42538.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-721,Teacher/Daycare,46369.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-722,Teacher/Daycare,46336.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-723,Teacher/Daycare,29527.00
2019,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-728,Teacher/Daycare,43599.00
2019,Human Resources and Development,Human Services,Commission for Persons with Disabilities,M034-702,Coordinator-Ada/Exec Dir,90425.00
2019,Human Resources and Development,Human Services,Commission for Persons with Disabilities,M254-701,Disability Project Coordinator,68504.00
2019,Human Resources and Development,Human Services,Community Engagement Team,M281-701,Admin. Family  Support Worker,48410.00
2019,Human Resources and Development,Human Services,Community Learning Center,M443-701,ABE/GED Counselor/Teacher,58136.00
2019,Human Resources and Development,Human Services,Community Learning Center,M807-701,Assistant Director of CLC,69348.00
2019,Human Resources and Development,Human Services,Community Learning Center,M807-702,Assistant Director of CLC,45542.00
2019,Human Resources and Development,Human Services,Community Learning Center,M151-701,Bilingual Office Aide,39973.00
2019,Human Resources and Development,Human Services,Community Learning Center,M800-705,CLC Staff/Comm Learn Cntr,49609.00
2019,Human Resources and Development,Human Services,Community Learning Center,M442-701,Div Head/CLC,114284.00
2019,Human Resources and Development,Human Services,Community Learning Center,M107-701,Fiscal Assistant/CLC,58136.00
2019,Human Resources and Development,Human Services,Community Learning Center,M446-709,Teacher/Comm Learn Cntr,58136.00
2019,Human Resources and Development,Human Services,Community Learning Center,M446-712,Teacher/Comm Learn Cntr,58136.00
2019,Human Resources and Development,Human Services,Community Learning Center,K016-001,Teacher/Comm Learn Ctr,58137.00
